"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:AR:NS:C2",5,5,126,0,0.00073320301951454,0,0.2
"Num:AR:SB:C1:MC1:SB005",1,1,0,0,0.00094774357726498,0,NA
"Num:AR:CP:C3:MC2:CP011",1,1,0,0,0.000777884730398847,0,NA
"Num:AR:NS:C5:MC3:NS205",1,1,0,0,0.000770070884310876,0,NA
"Num:AR:DI:C7",5,5,146.6,0,0.000998536819929542,0,0.3
"Num:AR:NS:C5:MC3:NS206",1,1,0,0,0.000770070884310876,0,NA
"Num:AR:FC:C29:MC29",3,3,0,0,0.00444648596150753,0,0.666666666666667
"Num:AR:FC:C6:MC3:FC035",1,1,0,0,0.000814965226724203,0,NA
"Num:AR:MS:C4:MC4",51,51,635.633333333333,0,0.000961349633627678,0,0.00549019607843137
"Num:AR:SB:C0:MC0:SB003",1,1,0,0,0.000871466925109614,0,NA
"Num:AR:MS:C4:MC3",20,20,267.1,0,0.000969528604556705,0,0.0473684210526316
"Num:AR:TI:C1:MC1:TI050",1,1,0,0,0.000723983390206914,0,NA
"Num:AR:WT:C5:MC5",6,6,27.25,0,0.00210643599462813,0,0.4
"Num:AR:MS:C8",5,5,40.0666666666667,0,0.0010553733154542,0,0.3
"Num:AR:NS:C2:MC1:NS036",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:MS:C2:MC1:MS025",1,1,0,0,0.000753314093787171,0,NA
"Num:AR:NS:C2:MC1:NS029",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:FC:C2:MC1:FC010",1,1,0,0,0.000788033172302446,0,NA
"Num:AR:WT:C3:MC3:WT026",1,1,0,0,0.000753637615875177,0,NA
"Num:AR:NS:C2:MC1:NS035",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:TI:C3:MC2:TI052",1,1,0,0,0.000783545863791577,0,NA
"Num:AR:ML:C7:MC7",10,10,99.225,0,0.00125917959861944,0,0.0222222222222222
"Num:AR:NS:C16:MC16:NS077",1,1,0,0,0.000853772020355117,0,NA
"Num:AR:WT:C9:MC9:WT031",1,1,0,0,0.00276079540361707,0,NA
"Num:AR:MO:C0",3,3,36,0,0.000867120200093008,0,0.333333333333333
"Num:AR:NS:C16:MC14:NS061",1,1,0,0,0.000906459673393984,0,NA
"Num:AR:AT:C11",5,5,38.5285714285714,0,0.00113135076945577,0,0.2
"Num:GE:TS:C0:MC0:TS014",1,1,0,0,0.000870188391151195,0,NA
"Num:AR:CP:C5:MC4",3,3,6,0,0.0011492539384894,0,0.333333333333333
"Num:GE:GI",7,7,854.5,0,0.0011735611375652,0,0.285714285714286
"Num:AR:FC:C29",8,8,39,0,0.00126815515038419,0,0.321428571428571
"Num:AR:NS:C2:MC1",17,17,77.5,0,0.000882079093323003,0,0.00735294117647059
"Num:AR:FC:C16:MC15",6,6,161,0,0.000956861008630668,0,0.133333333333333
"Num:AR:MS:C4:MC4:MS103",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:AT:C4:MC3:AT010",1,1,0,0,0.000817137212816664,0,NA
"Num:AR:MS:C4:MC4:MS091",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:SB:C8:MC8:SB031",1,1,0,0,0.00109618249726556,0,NA
"Num:AR:ML:C14",7,7,31.6333333333333,0,0.000873725795053194,0,0.238095238095238
"Num:AR:MS:C4:MC4:MS092",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:MS:C2:MC0",11,11,90,0,0.000877673073638458,0,0.0181818181818182
"Num:AR:WT:C3:MC3:WT022",1,1,0,0,0.000753637615875177,0,NA
"Num:AR:MS:C4:MC4:MS096",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:NS:C10:MC8:NS070",1,1,0,0,0.000791059940136533,0,NA
"Num:AR:NS:C17:MC17",7,7,60,0,0.00164072053874937,0,0
"Num:AR:MS:C8:MC8:MS130",1,1,0,0,0.00134028457902217,0,NA
"Num:CC:RE:C0:MC0:RE020",1,1,0,0,0.000796038502194605,0,NA
"Num:AR:NS:C12:MC12:NS086",1,1,0,0,0.00105836481700147,0,NA
"Num:AR:FC:C12",9,9,194,0,0.000874546204288529,0,0.166666666666667
"Num:AR:MO:C0:MC0:MO022",1,1,0,0,0.000926275884087996,0,NA
"Num:AR:AT:C4:MC4:AT012",1,1,0,0,0.000836768110345613,0,NA
"Num:AR:NS",20,20,341.833333333333,0,0.000756673700658702,0,0.215789473684211
"Num:AR:CP:C9",5,5,35.1428571428571,0,0.00156418728994528,0,0.2
"Num:GE:GI:C1:MC1:GI077",1,1,0,0,0.000735532487997495,0,NA
"Num",14,14,0,0.221311475409836,0.000699351827642966,0,0
"Num:AR:DI:C5:MC5:DI034",1,1,0,0,0.000801770797555593,0,NA
"Num:AR:TI:C5:MC4",4,4,24,0,0.00103374225460492,0,0.166666666666667
"Num:AR:MO:C5:MC4:MO017",1,1,0,0,0.00229015572836078,0,NA
"Num:AR:AT:C4:MC4",8,8,59.9150793650794,0,0.000969997289665744,0,0
"Num:AR:TI:C1:MC1:TI038",1,1,0,0,0.000723983390206914,0,NA
"Num:CC:RE:C0:MC0:RE094",1,1,0,0,0.000796038502194605,0,NA
"Num:AR:FC:C16",8,8,102.166666666667,0,0.000874546204288529,0,0.357142857142857
"Num:AR:FC:C2:MC0:FC014",1,1,0,0,0.000780380467433354,0,NA
"Num:AR:WT:C3:MC2:WT010",1,1,0,0,0.000748011357711054,0,NA
"Num:GE:GI:C0:MC0:GI030",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:NS:C12:MC11:NS085",1,1,0,0,0.001027505766607,0,NA
"Num:AR:AT:C7:MC7:AT026",1,1,0,0,0.000842610083142513,0,NA
"Num:AR:MS:C2:MC1:MS022",1,1,0,0,0.000753314093787171,0,NA
"Num:AR:MS:C4:MC3:MS062",1,1,0,0,0.000745135122858144,0,NA
"Num:AR:DI:C12",4,4,40.3333333333333,0,0.000917692818883029,0,0.333333333333333
"Num:AR:AT:C7",4,4,43.218253968254,0,0.000926492935100243,0,0.333333333333333
"Num:AR:SB:C8:MC7",3,3,4,0,0.00130693940528309,0,0.333333333333333
"Num:AR:AT:C2:MC0:AT001",1,1,0,0,0.000780186524355731,0,NA
"Num:AR:NS:C10:MC8:NS012",1,1,0,0,0.000791059940136533,0,NA
"Num:AR:WT:C3:MC3:WT020",1,1,0,0,0.000753637615875177,0,NA
"Num:AR:FC:C14:MC13:FC078",1,1,0,0,0.0011316086212716,0,NA
"Num:AR:FC:C6:MC3",14,14,350,0,0.00163218916349982,0,0.010989010989011
"Num:AR:TI:C1:MC1:TI046",1,1,0,0,0.000723983390206914,0,NA
"Num:GE:GI:C1:MC1:GI052",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:FC:C2:MC0:FC161",1,1,0,0,0.000780380467433354,0,NA
"Num:AR:NS:C2:MC0",28,28,129,0,0.000855157469289806,0,0.00264550264550265
"Num:GE:GI:C1:MC1:GI041",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:SB:C8:MC8",5,5,51.7142857142857,0,0.0014005788339621,0,0
"Num:AR:FC:C14",4,4,47.5,0,0.000852540665740759,0,0.166666666666667
"Num:AR:SB:C4:MC4:SB021",1,1,0,0,0.000830369274551136,0,NA
